model,seed,true_event,predicted_event,count,share_of_errors,rate_given_true
rotate,20260716,Goalkeeper leaving line,Duel,11,0.0005188924005849332,0.05555555555555555
rotate,20260716,Goalkeeper leaving line,Foul,0,0.0,0.0
rotate,20260716,Goalkeeper leaving line,Free Kick,0,0.0,0.0
rotate,20260716,Goalkeeper leaving line,Interruption,41,0.0019340534930892966,0.20707070707070707
rotate,20260716,Goalkeeper leaving line,Offside,0,0.0,0.0
rotate,20260716,Goalkeeper leaving line,Others on the ball,5,0.00023586018208406057,0.025252525252525252
rotate,20260716,Goalkeeper leaving line,Pass,6,0.0002830322185008727,0.030303030303030304
rotate,20260716,Goalkeeper leaving line,Save attempt,0,0.0,0.0
rotate,20260716,Goalkeeper leaving line,Shot,0,0.0,0.0
rotate,20260716,Interruption,Duel,48,0.0022642577480069814,0.01118620368212538
rotate,20260716,Interruption,Foul,0,0.0,0.0
rotate,20260716,Interruption,Free Kick,127,0.005990848624935138,0.029596830575623397
