seed,mode,anchor,age,head,pairs,samples,sample_mean_mass,pair_mean_mass,bias_mean
20260715,transition,Pass+CONTROL,age_6_20,3,571171,38253,0.08833193628793128,0.08848262039837,-3.625161783521133
20260715,transition,Pass+CONTROL,age_6_20,mean,571171,38253,0.11711201318494216,0.1172299765514924,-1.997091243998471
20260715,transition,Pass+CONTROL,age_gt20,0,2157327,37915,0.0978470483441287,0.09785859681437924,-0.937536172754917
20260715,transition,Pass+CONTROL,age_gt20,1,2157327,37915,0.15506420193161996,0.155319437419579,-2.568412524606438
20260715,transition,Pass+CONTROL,age_gt20,2,2157327,37915,0.10655540833881189,0.10649953559172433,-0.8122709233831946
20260715,transition,Pass+CONTROL,age_gt20,3,2157327,37915,0.08637427861835137,0.08665601261884893,-3.586139304279647
20260715,transition,Pass+CONTROL,age_gt20,mean,2157327,37915,0.11146023430822799,0.11158339561113287,-1.9760897312560493
20260716,base,other,ends_at_anchor,0,58429,58429,0.3010756663577226,0.3010756663577226,0.0
20260716,base,other,ends_at_anchor,1,58429,58429,0.2077755756626913,0.2077755756626913,0.0
20260716,base,other,ends_at_anchor,2,58429,58429,0.31312724711727885,0.31312724711727885,0.0
20260716,base,other,ends_at_anchor,3,58429,58429,0.15132305158007459,0.15132305158007459,0.0
20260716,base,other,ends_at_anchor,mean,58429,58429,0.2433253851794418,0.2433253851794418,0.0
20260716,base,other,age_1_5,0,291553,58413,0.23187050882634305,0.23187742084577773,0.0
20260716,base,other,age_1_5,1,291553,58413,0.17112017813229566,0.17112418373911828,0.0
20260716,base,other,age_1_5,2,291553,58413,0.2101022652370283,0.21020422056475724,0.0
20260716,base,other,age_1_5,3,291553,58413,0.20288407401184974,0.20289485740424504,0.0
20260716,base,other,age_1_5,mean,291553,58413,0.20399425655187917,0.20402517063847458,0.0
20260716,base,other,age_6_20,0,869369,58239,0.21755187664263742,0.21750440126665388,0.0
20260716,base,other,age_6_20,1,869369,58239,0.1687883413119901,0.16867220543268835,0.0
20260716,base,other,age_6_20,2,869369,58239,0.21253599855138006,0.21249524329089392,0.0
20260716,base,other,age_6_20,3,869369,58239,0.2327539470561034,0.2327697974833988,0.0
20260716,base,other,age_6_20,mean,869369,58239,0.20790754089052774,0.20786041186840873,0.0
20260716,base,other,age_gt20,0,3292092,57722,0.21710570572939156,0.2169901411397043,0.0
20260716,base,other,age_gt20,1,3292092,57722,0.1700008845021346,0.1699456853349021,0.0
20260716,base,other,age_gt20,2,3292092,57722,0.20823740431943133,0.20802313520171525,0.0
20260716,base,other,age_gt20,3,3292092,57722,0.2575488204087755,0.2576942133529963,0.0
20260716,base,other,age_gt20,mean,3292092,57722,0.21322320373993325,0.2131632937573295,0.0
20260716,base,Pass+CONTROL,ends_at_anchor,0,38348,38348,0.18839261896688833,0.18839261896688833,0.0
20260716,base,Pass+CONTROL,ends_at_anchor,1,38348,38348,0.2409127197984411,0.2409127197984411,0.0
20260716,base,Pass+CONTROL,ends_at_anchor,2,38348,38348,0.018437278706751912,0.018437278706751912,0.0
20260716,base,Pass+CONTROL,ends_at_anchor,3,38348,38348,0.26005459701897454,0.26005459701897454,0.0
20260716,base,Pass+CONTROL,ends_at_anchor,mean,38348,38348,0.17694930362276395,0.17694930362276395,0.0
20260716,base,Pass+CONTROL,age_1_5,0,191477,38364,0.2347825175067349,0.23480858416599626,0.0
20260716,base,Pass+CONTROL,age_1_5,1,191477,38364,0.24306723061282284,0.24294566124829894,0.0
20260716,base,Pass+CONTROL,age_1_5,2,191477,38364,0.17573110594516198,0.17580593882905288,0.0
20260716,base,Pass+CONTROL,age_1_5,3,191477,38364,0.21295735623364634,0.21297475976379251,0.0
20260716,base,Pass+CONTROL,age_1_5,mean,191477,38364,0.2166345525745915,0.21663373600178515,0.0
20260716,base,Pass+CONTROL,age_6_20,0,571171,38253,0.22274116257338186,0.22267538608489795,0.0
20260716,base,Pass+CONTROL,age_6_20,1,571171,38253,0.18881698436445632,0.18862965712657206,0.0
20260716,base,Pass+CONTROL,age_6_20,2,571171,38253,0.20141085216596502,0.20142506397419543,0.0
20260716,base,Pass+CONTROL,age_6_20,3,571171,38253,0.23610820271294827,0.23622798110027363,0.0
20260716,base,Pass+CONTROL,age_6_20,mean,571171,38253,0.21226930045418788,0.21223952207148478,0.0
20260716,base,Pass+CONTROL,age_gt20,0,2157327,37915,0.2223798213104418,0.22226100055477271,0.0
20260716,base,Pass+CONTROL,age_gt20,1,2157327,37915,0.1788899508556449,0.17884162665652284,0.0
20260716,base,Pass+CONTROL,age_gt20,2,2157327,37915,0.1995339447246486,0.19935841567698917,0.0
20260716,base,Pass+CONTROL,age_gt20,3,2157327,37915,0.26197999943041145,0.2621759421220482,0.0
20260716,base,Pass+CONTROL,age_gt20,mean,2157327,37915,0.21569592908028667,0.21565924625258323,0.0
20260716,constant,other,ends_at_anchor,0,58429,58429,0.3101916280032978,0.3101916280032978,-0.06362737715244293
20260716,constant,other,ends_at_anchor,1,58429,58429,0.20001857078082788,0.20001857078082788,-0.24013987183570862
20260716,constant,other,ends_at_anchor,2,58429,58429,0.3111548758322792,0.3111548758322792,0.0315265953540802
20260716,constant,other,ends_at_anchor,3,58429,58429,0.1510655961202159,0.1510655961202159,-0.11360488831996918
20260716,constant,other,ends_at_anchor,mean,58429,58429,0.24310766768415518,0.24310766768415518,-0.09646138548851013
20260716,constant,other,age_1_5,0,291553,58413,0.23805235208287012,0.23807361554580603,-0.06362737715244293
20260716,constant,other,age_1_5,1,291553,58413,0.15457626613586128,0.15455654437123303,-0.24013987183570862
20260716,constant,other,age_1_5,2,291553,58413,0.1883143531310077,0.18842222328116076,0.0315265953540802
20260716,constant,other,age_1_5,3,291553,58413,0.182092436763267,0.18210871463646325,-0.11360488831996918
20260716,constant,other,age_1_5,mean,291553,58413,0.19075885202825155,0.19079027445866578,-0.09646138548851013
20260716,constant,other,age_6_20,0,869369,58239,0.2334781436371553,0.23346163015030122,-0.06362737715244293
20260716,constant,other,age_6_20,1,869369,58239,0.1464546366648333,0.14631066707451873,-0.24013987183570862
20260716,constant,other,age_6_20,2,869369,58239,0.1744469424422033,0.17438257885520173,0.0315265953540802
20260716,constant,other,age_6_20,3,869369,58239,0.19730667334131682,0.19727524330924173,-0.11360488831996918
