configuration,seed,task,layer,relation,message_norm
pg_shared,20260717,shared,layer2,team__performs__event,139.402099609375
pg_shared,20260717,shared,layer2,event__performed_by_team__team,110.39371490478516
pg_shared,20260717,shared,layer2,event__has_type__event_type,139.4127197265625
pg_shared,20260717,shared,layer2,event_type__describes__event,245.7521209716797
pg_shared,20260717,shared,layer2,event__has_tag__tag,157.62057495117188
pg_shared,20260717,shared,layer2,tag__describes__event,316.07000732421875
pg_shared,20260717,shared,layer2,event__starts_in__zone,112.153076171875
pg_shared,20260717,shared,layer2,zone__start_of__event,258.63250732421875
pg_shared,20260717,shared,layer2,event__ends_in__zone,117.31073760986328
pg_shared,20260717,shared,layer2,zone__end_of__event,188.1922607421875
pg_shared,20260717,shared,layer2,event__belongs_to__possession,133.16647338867188
pg_shared,20260717,shared,layer2,possession__contains__event,196.82342529296875
pg_shared,20260717,shared,layer2,possession__owned_by__team,0.0
pg_shared,20260717,shared,layer2,team__has_possession__possession,0.0
pg_shared,20260717,shared,layer2,possession__next__possession,0.0
pg_task,20260715,event,layer1,event__next__event,97.59183502197266
pg_task,20260715,event,layer1,event__gap_0_2s__event,106.9540023803711
pg_task,20260715,event,layer1,event__gap_2_5s__event,83.61300659179688
pg_task,20260715,event,layer1,event__gap_5_15s__event,69.30003356933594
pg_task,20260715,event,layer1,event__gap_15_60s__event,54.26262283325195
pg_task,20260715,event,layer1,event__gap_60plus__event,0.0
pg_task,20260715,event,layer1,event__period_break__event,0.0
pg_task,20260715,event,layer1,player__performs__event,94.78803253173828
pg_task,20260715,event,layer1,event__performed_by__player,85.37545776367188
pg_task,20260715,event,layer1,team__performs__event,64.8216323852539
pg_task,20260715,event,layer1,event__performed_by_team__team,81.29544067382812
pg_task,20260715,event,layer1,event__has_type__event_type,100.58356475830078
pg_task,20260715,event,layer1,event_type__describes__event,117.90036010742188
pg_task,20260715,event,layer1,event__has_tag__tag,95.06978607177734
pg_task,20260715,event,layer1,tag__describes__event,125.93098449707031
pg_task,20260715,event,layer1,event__starts_in__zone,112.16983032226562
pg_task,20260715,event,layer1,zone__start_of__event,122.39761352539062
pg_task,20260715,event,layer1,event__ends_in__zone,109.86341857910156
pg_task,20260715,event,layer1,zone__end_of__event,130.1741485595703
pg_task,20260715,event,layer1,event__belongs_to__possession,72.9290542602539
pg_task,20260715,event,layer1,possession__contains__event,121.66693878173828
pg_task,20260715,event,layer1,possession__owned_by__team,0.0
pg_task,20260715,event,layer1,team__has_possession__possession,0.0
pg_task,20260715,event,layer1,possession__next__possession,0.0
pg_task,20260715,event,layer2,event__next__event,174.25115966796875
pg_task,20260715,event,layer2,event__gap_0_2s__event,116.39024353027344
pg_task,20260715,event,layer2,event__gap_2_5s__event,107.39115905761719
pg_task,20260715,event,layer2,event__gap_5_15s__event,60.784751892089844
pg_task,20260715,event,layer2,event__gap_15_60s__event,32.045589447021484
pg_task,20260715,event,layer2,event__gap_60plus__event,0.0
pg_task,20260715,event,layer2,event__period_break__event,0.0
pg_task,20260715,event,layer2,player__performs__event,133.50596618652344
pg_task,20260715,event,layer2,event__performed_by__player,120.7463607788086
pg_task,20260715,event,layer2,team__performs__event,142.83538818359375
pg_task,20260715,event,layer2,event__performed_by_team__team,118.03312683105469
pg_task,20260715,event,layer2,event__has_type__event_type,102.68729400634766
pg_task,20260715,event,layer2,event_type__describes__event,359.85699462890625
pg_task,20260715,event,layer2,event__has_tag__tag,133.31390380859375
pg_task,20260715,event,layer2,tag__describes__event,199.280517578125
pg_task,20260715,event,layer2,event__starts_in__zone,116.1770248413086
pg_task,20260715,event,layer2,zone__start_of__event,256.1859130859375
