split,method,seed,group,value,samples,mean_distance_m,median_distance_m,distance_rmse_m,x_mae_m,y_mae_m,loss
validation,PR-Original,20260716,zone_true,9,376,12.33347783687529,7.580595461474563,17.774445266377416,6.724700430962951,9.117866930254596,0.014409762807190418
validation,PR-Original,20260716,zone_true,10,379,15.000048353240619,10.170401256011722,21.20183942710083,10.417366430831773,9.887102890907146,0.01771826669573784
validation,PR-Original,20260716,zone_true,11,223,23.729322071466775,18.923875486155037,29.696203870640446,20.000017849987398,10.633577611447716,0.027657262980937958
validation,PR-Original,20260716,zone_true,12,540,11.11181225831432,6.461261385263969,16.554042354690658,8.04428347458856,6.58533734370161,0.009365933947265148
validation,PR-Original,20260716,zone_true,13,504,11.591615182581343,6.895799820056432,16.918691812550904,8.34280843536059,7.107557110902336,0.010112213902175426
validation,PR-Original,20260716,zone_true,14,458,8.908756073669915,5.692075984099711,13.076607911240597,7.060305902238236,3.946071653712264,0.0048932479694485664
validation,PR-Original,20260716,zone_true,15,393,9.3783691605281,5.440398776454481,13.991321505385558,7.974546767259372,3.450709827680321,0.0051765115931630135
validation,PR-Original,20260716,zone_true,16,533,9.716258047798066,6.285452128963093,14.11242648510512,6.828826964600449,5.834985188315107,0.006863879039883614
validation,PR-Original,20260716,zone_true,17,546,9.250402155515339,6.5085258109593696,12.589927832400239,6.686818324602568,5.468971973592108,0.005524929612874985
validation,PR-Original,20260716,zone_true,18,485,19.48070648062584,10.956906325792605,27.834553731453454,17.18646135981934,5.995349369897056,0.019455263391137123
validation,PR-Original,20260716,zone_true,19,242,29.001754111651355,21.834637583118123,37.6734491241193,27.31844400810001,6.219343197000914,0.03425062820315361
validation,PR-Original,20260716,player_mask,0,573,25.35646448967287,17.017405240667593,33.84856203720222,18.189990298520208,14.56648202777481,0.039880506694316864
validation,PR-Original,20260716,player_mask,1,6723,14.733458487001695,8.172534115377193,22.2215105302619,10.793614396027513,8.231813123452731,0.01698007807135582
validation,PR-Original,20260717,event_true,0,2049,19.874701299001398,12.33769482969514,27.13256126314208,14.93385442615777,10.821345567648704,0.024978533387184143
validation,PR-Original,20260717,event_true,1,82,28.989202676714164,27.65732291168605,32.57995835880804,19.114698257479,18.94957441782079,0.0391954742372036
validation,PR-Original,20260717,event_true,2,431,27.93190971974592,22.65781721083975,33.63705845813607,16.9647763903726,19.67737427554385,0.04532100632786751
validation,PR-Original,20260717,event_true,3,18,33.07482036384919,25.002548288900744,38.33513959456366,27.72792313868801,17.25252769390742,0.047287628054618835
validation,PR-Original,20260717,event_true,4,326,44.46453449924454,43.758969127797954,47.991380098880484,30.698808937967737,27.435488954712095,0.08227754384279251
